entry_t,exit_t,direction,entry,tp,sl,exit,result,pnl_pct,pnl_abs
2024-01-30 12:15:00,2024-01-30 12:30:00,short,43725.00668128827,43430.656185591615,43798.594305212435,43430.656185591615,TP,0.5731857077625602,30.14522190012883
2024-04-13 11:00:00,2024-04-13 11:45:00,short,67782.62956961228,67373.67767116945,67884.86754422299,67373.67767116945,TP,0.5033284648876568,29.52414436357076
2024-04-17 02:00:00,2024-04-17 02:45:00,short,64221.34489206704,63695.935297399905,64352.69729073383,63695.935297399905,TP,0.7181230018620152,36.088215231029324
2024-04-29 12:30:00,2024-04-29 12:45:00,long,62003.581405126424,62369.746232059515,61912.04019839315,62369.746232059515,TP,0.49055431740402095,31.745387882677814
2024-05-14 12:30:00,2024-05-14 13:15:00,long,61405.59125879477,61862.13836325194,61291.45448268048,61862.13836325194,TP,0.643494354663976,37.50218530993324
2024-05-29 12:30:00,2024-05-29 12:45:00,long,67710.86472834324,68010.91387259775,67635.8524422796,68010.91387259775,TP,0.3431329380570131,28.342399028812412
2024-06-29 07:00:00,2024-06-29 07:15:00,short,60984.77154849062,60774.77325739164,61037.27112126537,61037.27112126537,SL,-0.18608636458201827,-17.977308704676826
2024-07-13 22:30:00,2024-07-13 22:45:00,long,58317.53220509359,58612.78357446627,58243.71936275042,58612.78357446627,TP,0.40628234462036955,31.591858366781622
2024-08-18 09:45:00,2024-08-18 10:15:00,short,60008.65097244253,59612.8919046244,60107.590739397056,60107.590739397056,SL,-0.26487583931850817,-18.24959969791892
2024-08-24 06:30:00,2024-08-24 08:45:00,short,64232.267237095504,63913.78043894989,64311.888936631905,64311.888936631905,SL,-0.22395903641778647,-17.88460770396054
2024-08-30 13:45:00,2024-08-30 14:00:00,long,59179.30331925855,59479.11909456666,59104.34937543152,59479.11909456666,TP,0.4066226847765919,31.443472908474284
2024-09-04 14:00:00,2024-09-04 14:15:00,long,56167.82372374183,56540.562668049606,56074.63898766488,56540.562668049606,TP,0.5636164971266683,38.483419452279136
2024-09-05 14:00:00,2024-09-05 14:15:00,short,57235.33763136543,56790.12877183706,57346.63984624752,56790.12877183706,TP,0.6778566143801223,43.566402255562444
2024-09-09 13:15:00,2024-09-09 13:45:00,short,55571.82920299626,55202.62932192607,55664.129173263806,55664.129173263806,SL,-0.2660912940806486,-19.79678144220765
2024-11-01 01:30:00,2024-11-01 01:45:00,long,69637.61205168959,70339.27183559074,69462.19710571431,69462.19710571431,SL,-0.3518968425354337,-19.400845813363496
2025-01-24 13:00:00,2025-01-24 13:15:00,short,105700.42766937944,105217.22590072971,105821.22811154187,105217.22590072971,TP,0.3571426807856778,31.688039034080493
2025-01-31 15:45:00,2025-01-31 16:15:00,short,105959.46222132149,104781.08707232823,106254.05600856981,104781.08707232823,TP,1.012099971338044,52.60052437451902
2025-02-13 11:30:00,2025-02-13 11:45:00,long,95805.4865057319,96219.37042785904,95702.01552520011,95702.01552520011,SL,-0.20800110129976002,-20.698600165268214
2025-04-02 20:15:00,2025-04-02 20:30:00,short,88144.23477294871,86424.16072346707,88574.25328531912,86424.16072346707,TP,1.8514311445466531,63.88550635931372
2025-04-21 05:45:00,2025-04-21 09:00:00,short,87591.05884212122,87033.94769332874,87730.33662931934,87730.33662931934,SL,-0.2590091375070201,-21.562338289149125
2025-05-17 08:15:00,2025-05-17 08:30:00,long,103056.18621944079,103403.48895646303,102969.36053518523,103403.48895646303,TP,0.23700328894639872,27.181090044929086
2025-05-26 12:45:00,2025-05-26 13:00:00,short,110003.10193459131,109693.46919071891,110080.51012055941,109693.46919071891,TP,0.1814763751448632,23.087804947341926
2025-06-20 13:30:00,2025-06-20 13:45:00,short,106074.11129159728,105821.0528960832,106137.3758904758,105821.0528960832,TP,0.1385675377646286,19.214231111804303
2025-06-24 14:15:00,2025-06-24 14:45:00,short,105495.25308181116,105142.48365306112,105583.44543899866,105583.44543899866,SL,-0.1835984128301164,-22.52075404544765
2025-08-01 05:00:00,2025-08-01 08:00:00,short,115842.31826056658,114564.67332848361,116161.72949358732,114564.67332848361,TP,1.0029172682897598,58.91135734898392
2025-08-27 20:15:00,2025-08-27 20:30:00,long,111067.80253328537,111947.5781658788,110847.85862513701,111947.5781658788,TP,0.6921068145106912,53.99009832852485
2025-08-29 12:30:00,2025-08-29 13:30:00,short,111112.4885482292,110170.6847738546,111347.93949182285,110170.6847738546,TP,0.7476128891360384,58.313605783345736
2025-09-25 23:30:00,2025-09-26 00:45:00,long,108697.04314105592,109466.9759924892,108504.5599281976,109466.9759924892,TP,0.6083291589028172,55.97302173643212
2025-12-23 03:00:00,2025-12-23 05:30:00,long,87768.51362212565,88466.37179546623,87594.04907879051,87594.04907879051,SL,-0.29877805392292617,-26.614100628484433
2025-12-27 22:15:00,2025-12-27 22:30:00,short,87901.752209203,87566.34163751124,87985.60485212594,87566.34163751124,TP,0.2815743864735366,37.58553095899808
2026-02-01 05:45:00,2026-02-01 06:00:00,long,78903.20690681532,79582.60030220413,78733.35855796812,78733.35855796812,SL,-0.31526165476111556,-26.83352923509471
2026-02-01 06:15:00,2026-02-01 06:30:00,long,78740.20179146204,79418.68913627141,78570.5799552597,78570.5799552597,SL,-0.31541961074924246,-26.296858650392817
2026-02-07 23:00:00,2026-02-07 23:45:00,long,68845.96355959914,69340.71799458654,68722.2749508523,69340.71799458654,TP,0.6186397130735054,57.00822269077432
2026-02-23 14:30:00,2026-02-23 15:15:00,long,65545.9484672295,66094.46451990386,65408.819454060904,66094.46451990386,TP,0.7368420405856336,64.12854292220686
2026-02-24 01:15:00,2026-02-24 03:00:00,long,63850.68161466421,64686.31300498574,63641.773767083825,63641.773767083825,SL,-0.42718185976640366,-28.193656789644585
2026-03-01 13:45:00,2026-03-01 14:00:00,short,67121.57793833231,66530.09155139443,67269.44953506677,67269.44953506677,SL,-0.32030411274049303,-27.62978365385169
2026-03-08 02:45:00,2026-03-08 04:45:00,long,66854.20831548372,67257.58946815855,66753.363027315,66753.363027315,SL,-0.25084359041816,-27.077187980774656
2026-03-15 17:45:00,2026-03-15 18:45:00,short,71886.8292817405,71518.28879399502,71978.96440367687,71518.28879399502,TP,0.41266760744321246,47.99294167297993
